id,count,guess_1,score_1,guess_2,score_2,guess_3,score_3,avg_score,cereal,icecream,entree ,apparel,date,job,doctor,car,home,vacation,disease,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10,score_4,MS1,MS2,MS3,MS4,MS5,MS6,MS7,MS8,MS9,MS10,MS11,MS12,MS13,score_5,score_5B,D1,D2,D3,D4,D5_1,D5_2,D5_3,D5_4,D5_5,D5_6,D5_7,D5_8,D5_9,D5_10,D5_11,D5_12,D6,D7,D8_1,D8_2,D8_3,D8_4,D8_5,D8_6,D8_7,D8_8,D8_9,D8_10,D9
R_eLhtbZftfGl2nUp,2,1487642,0,1943248,0,9728713,0,0,scrutinize,scrutinize,defer,eliminate,scrutinize,scrutinize,eliminate,scrutinize,defer,eliminate,eliminate,4,1,4,2,4,2,5,5,1,1,,1,2,5,3,3,2,5,6,5,6,5,6,5,4.15,MAX,2,2,9,1,,1,,,,,1,,,,,,1,1,,,,,,,,,1,,2
R_ePu9oloSncTzNkh,3,1487642,0,1943248,0,9728713,0,0,scrutinize,scrutinize,scrutinize,scrutinize,postpone,scrutinize,scrutinize,scrutinize,scrutinize,scrutinize,scrutinize,5,4,3,4,5,2,5,4,1,5,,7,6,2,6,5,6,2,7,6,7,2,2,5,4.85,MAX,1,1,4,1,,,1,,,,,,,,,,1,1,,,,,,,,,1,,2
R_0ujqkHsXqrESMNT,4,1487642,0,1943248,0,9728713,0,0,scrutinize,defer,scrutinize,eliminate,scrutinize,scrutinize,defer,scrutinize,scrutinize,defer,defer,5,3,5,1,4,2,4,5,1,1,,5,5,5,6,2,2,1,5,6,6,1,6,6,4.31,MAX,3,2,5,2,1,,,,,,,,,,,,1,1,,,,,,,,,1,,3
R_71g4O4i29HQoNcV,5,1478642,1,1943248,0,9728791,2,1,scrutinize,eliminate,eliminate,defer,scrutinize,scrutinize,scrutinize,scrutinize,scrutinize,scrutinize,eliminate,4,2,5,1,2,3,2,3,4,2,,2,4,4,2,5,5,6,2,4,5,3,3,6,3.92,MIN,1,2,7,1,1,,,,,,,,,,,,1,1,,,,,,,,,1,,6
R_bI2wo7m558lF0XP,6,1487642,0,1494392,4,9728421,3,2.33,defer,defer,defer,scrutinize,scrutinize,scrutinize,scrutinize,postpone,scrutinize,scrutinize,scrutinize,4,2,4,3,3,3,2,3,4,2,,2,5,2,4,6,6,2,2,5,2,4,5,5,3.85,MIN,2,2,8,2,1,,,,,,,,,,,,1,1,,,,,,,,,1,,4
R_2g8N2O2Ub365kKV,7,1487642,0,1943248,0,9728713,0,0,scrutinize,eliminate,scrutinize,scrutinize,scrutinize,defer,scrutinize,eliminate,scrutinize,eliminate,scrutinize,5,2,3,2,5,4,5,2,1,1,,3,5,1,5,2,1,5,6,2,7,1,4,1,3.31,MIN,2,5,8,2,,,1,,,,,,,,,,2,2,,,1,,,,,,,,2
R_0GjsWVLi9PyFlOt,8,1487642,0,1943428,1,1972873,2,1,scrutinize,eliminate,scrutinize,eliminate,scrutinize,scrutinize,defer,scrutinize,postpone,eliminate,postpone,5,2,4,1,4,4,4,4,2,4,,3,3,3,3,6,3,3,3,3,5,2,5,6,3.69,MIN,6,2,4,2,,,1,,,,,,,,,,2,4,,,,,,,,1,,,2
R_3HN7dlxQQ5m4qGh,9,1478642,1,1943248,0,9728713,0,0.33,scrutinize,defer,scrutinize,eliminate,scrutinize,scrutinize,defer,scrutinize,scrutinize,scrutinize,scrutinize,5,1,5,2,5,4,5,4,2,3,,2,3,2,6,2,5,2,4,5,5,3,2,4,3.46,MIN,3,5,8,1,1,,,,,,,,,,,,1,1,,,,,,,,,1,,2
R_1Xq3Ukgj7RBnjnL,10,1487421,2,19432891,3,9734237,5,3.33,defer,postpone,defer,defer,eliminate,scrutinize,scrutinize,postpone,scrutinize,postpone,eliminate,3,4,4,3,4,3,4,4,4,4,,4,3,3,4,5,3,6,5,5,5,6,5,5,4.54,MAX,1,1,8,1,1,,,,,,,,,,,,1,1,,,,,,,,,1,,3
R_barTKZ1q5cjr0hf,11,1487642,0,1943248,0,9728713,0,0,scrutinize,eliminate,scrutinize,eliminate,scrutinize,defer,scrutinize,scrutinize,defer,scrutinize,eliminate,5,2,5,1,4,5,2,1,2,2,,2,5,2,6,5,6,7,5,6,7,5,5,6,5.15,MAX,2,2,5,1,,1,,,,,1,,,,,,1,1,,,,,,,,,1,,3
R_cUAKNariWIhjLBr,12,1487642,0,193428,2,9728713,0,0.67,scrutinize,eliminate,scrutinize,scrutinize,scrutinize,scrutinize,defer,scrutinize,scrutinize,scrutinize,eliminate,5,2,4,2,4,4,5,2,4,4,,3,3,5,5,5,3,3,6,5,4,3,5,2,4,MIN,4,2,8,2,,1,,,,1,,,,,,,2,3,,,,,,1,1,,,,3
R_6MAttYf0zL1MVsF,13,1487642,0,1924248,2,9728713,0,0.67,scrutinize,scrutinize,scrutinize,scrutinize,scrutinize,scrutinize,scrutinize,scrutinize,scrutinize,scrutinize,scrutinize,4,2,3,1,5,4,5,2,1,4,,2,6,4,7,6,7,5,6,3,5,7,3,2,4.85,MAX,2,1,5,2,1,,,,,,,,,,,,1,1,,,,,,,,,1,,4
R_06tDhBiSd12VMRT,14,148674,2,1942348,1,9872873,2,1.67,scrutinize,defer,scrutinize,scrutinize,scrutinize,scrutinize,defer,scrutinize,defer,scrutinize,defer,4,2,2,5,4,4,4,5,4,5,,7,6,5,5,7,7,2,5,7,5,2,7,5,5.38,MAX,1,2,5,1,,1,,,,,,1,,,,,1,1,,,,,,,,,1,,2
R_eR5Buqin4VFZLmJ,15,1487642,0,1945248,1,9728713,0,0.33,scrutinize,scrutinize,scrutinize,scrutinize,scrutinize,scrutinize,scrutinize,scrutinize,defer,scrutinize,scrutinize,5,2,4,2,4,4,4,4,2,1,,3,3,5,3,6,1,6,3,6,6,6,5,3,4.31,MAX,8,2,4,2,,,,1,,,,,,,,,4,1,,,,,,,,,1,,2
R_djbCHXsNyBRvptz,16,148742,1,1943248,0,9728713,0,0.33,scrutinize,defer,scrutinize,defer,eliminate,scrutinize,scrutinize,eliminate,defer,scrutinize,eliminate,4,4,4,2,4,3,3,3,3,3,,5,4,3,4,4,4,4,5,5,2,4,4,4,4,MIN,1,2,5,1,,,,,,,,1,,,,,1,1,,,,,,,,,1,,3
R_e8xdmX8uTK2GH7n,17,2 4 8 6 7 4 6 2,3,1923492,4,924829,5,4,scrutinize,scrutinize,scrutinize,scrutinize,scrutinize,scrutinize,scrutinize,scrutinize,scrutinize,scrutinize,defer,4,3,2,2,4,3,5,3,2,3,,1,3,3,4,3,5,4,5,4,3,5,6,6,4,MIN,1,2,8,1,1,,,,,,,,,,,,1,1,,,,,,,,,1,,4
R_d6SYIC1ZQDCki2x,18,1487614,2,1943248,0,9728713,0,0.67,scrutinize,scrutinize,eliminate,eliminate,scrutinize,eliminate,scrutinize,scrutinize,scrutinize,eliminate,scrutinize,5,1,5,1,5,5,5,4,1,1,,2,3,2,5,5,5,1,6,6,7,1,1,5,3.77,MIN,2,2,5,1,1,,1,,,,1,,,,,,1,1,,,,,,,,,1,,4
R_daQ5qqpGRbfVNTD,19,1487162,2,1943248,0,9728713,0,0.67,scrutinize,scrutinize,defer,eliminate,scrutinize,eliminate,defer,defer,defer,defer,scrutinize,5,2,5,1,2,4,3,4,1,2,,4,3,2,6,4,6,6,3,5,6,4,3,5,4.38,MAX,5,2,4,1,,1,,,,,,,,,,,1,1,,,,,,,1,,,,4
R_9BOARN0xgIUab3L,20,1487462,1,1943248,0,9728713,0,0.33,scrutinize,eliminate,eliminate,scrutinize,scrutinize,scrutinize,defer,eliminate,eliminate,eliminate,eliminate,5,4,4,2,4,4,3,2,2,4,,2,5,6,5,2,2,6,6,6,6,2,6,2,4.31,MAX,1,2,8,2,,1,,,,,,1,,,,,1,1,,,,,,,,,1,,2
R_6SanMtcNVRNNNVb,21,1487642,0,1943248,0,9728713,0,0,scrutinize,scrutinize,scrutinize,scrutinize,eliminate,eliminate,scrutinize,scrutinize,scrutinize,scrutinize,eliminate,5,1,5,1,5,5,5,5,1,4,,1,7,7,7,5,5,5,7,5,5,5,5,7,5.46,MAX,1,2,4,1,,,1,,,,,,,,,,1,1,,,,,,,,,1,,2
R_0iG0MI7FhKiNK3X,22,1487642,0,1943248,0,9728723,1,0.33,postpone,eliminate,scrutinize,defer,scrutinize,scrutinize,defer,postpone,defer,scrutinize,defer,5,2,2,4,4,3,4,5,5,3,,2,2,3,6,3,1,2,4,6,4,3,5,6,3.62,MIN,2,2,5,1,,,,1,,,,,,,,,1,1,,,,,,,,,1,,5
R_d0hNUeodh10nhWd,23,1486742,1,194328,1,9728721,2,1.33,scrutinize,scrutinize,scrutinize,defer,postpone,scrutinize,defer,scrutinize,scrutinize,scrutinize,scrutinize,4,3,5,3,3,2,3,4,3,3,,4,3,6,3,5,2,5,4,5,3,2,6,6,4.15,MAX,3,2,8,2,,,,1,,,,,,,,,2,1,,,,,,,,,1,,2
R_d5dxwaYzkXOVheB,24,1487642,0,1943248,0,9728213,1,0.33,postpone,scrutinize,scrutinize,eliminate,scrutinize,scrutinize,defer,eliminate,defer,scrutinize,eliminate,5,2,4,1,3,3,4,4,3,2,,3,5,3,5,5,6,4,5,5,4,6,3,5,4.54,MAX,2,2,7,1,,1,,,,,,,,,,,1,1,,,,,,,,,1,,3
R_0CZgp8jmhvg7Jml,25,1487462,1,1943248,0,9728971,2,1,scrutinize,scrutinize,scrutinize,scrutinize,scrutinize,scrutinize,defer,scrutinize,scrutinize,scrutinize,scrutinize,4,4,4,2,5,4,3,3,3,4,,4,5,6,5,6,6,6,6,6,6,6,6,6,5.69,High MAX,2,2,4,2,,,,,,1,,,,,,,2,2,,,,1,,,,,,,5
R_eJoaNRxQ9TRMgjX,27,1842468,4,194384,2,9728317,2,2.67,scrutinize,scrutinize,eliminate,scrutinize,eliminate,eliminate,scrutinize,eliminate,scrutinize,scrutinize,eliminate,5,1,5,1,5,5,5,5,1,2,,5,7,6,7,6,6,6,7,6,6,6,6,5,6.08,High MAX,3,2,4,1,1,,,,,,,,,,,,2,2,,,1,,,,,,,,1
R_37TLU1F0qdQ7lNH,28,1487124,2,1943249,1,9728713,0,1,scrutinize,eliminate,scrutinize,eliminate,eliminate,scrutinize,defer,defer,defer,eliminate,defer,2,4,4,1,5,2,2,5,4,3,,5,2,4,5,6,6,6,3,5,2,2,5,6,4.38,MAX,2,2,8,1,,,1,1,,,,,,,,,1,1,,,,,,,,,1,,5
