«_èV1,,guess_1,score_1,guess_2,score_2,guess_3,score_3,,avg_score,,,
ResponseID,0,What numbers did you see? / Please type them in order without commas or / spaces.ë_,64,What numbers did you see? Please type them / in order without commas or spaces.ë_,64,What numbers did you see? / Please type them in order without commas or / spaces.ë_,64,,,,,
R_ekRi2lWFSYSsKiN,1,1487642,0,1943248,0,9728713,0,,0,,0,Min
R_eLhtbZftfGl2nUp,2,1487642,0,1943248,0,9728713,0,,0,,4,Max
R_ePu9oloSncTzNkh,3,1487642,0,1943248,0,9728713,0,,0,,0.666666667,Median
R_0ujqkHsXqrESMNT,4,1487642,0,1943248,0,9728713,0,,0,,0,Mode
R_71g4O4i29HQoNcV,5,1478642,1,1943248,0,9728791,2,,1,,0.846320346,Mean
R_bI2wo7m558lF0XP,6,1487642,0,1494392,4,9728421,3,,2.333333333,,,
R_2g8N2O2Ub365kKV,7,1487642,0,1943248,0,9728713,0,,0,,,
R_0GjsWVLi9PyFlOt,8,1487642,0,1943428,1,1972873,2,,1,,,
R_3HN7dlxQQ5m4qGh,9,1478642,1,1943248,0,9728713,0,,0.333333333,,,
R_1Xq3Ukgj7RBnjnL,10,1487421,2,19432891,3,9734237,5,,3.333333333,,,
R_barTKZ1q5cjr0hf,11,1487642,0,1943248,0,9728713,0,,0,,,
R_cUAKNariWIhjLBr,12,1487642,0,193428,2,9728713,0,,0.666666667,,,
R_6MAttYf0zL1MVsF,13,1487642,0,1924248,2,9728713,0,,0.666666667,,,
R_06tDhBiSd12VMRT,14,148674,2,1942348,1,9872873,2,,1.666666667,,,
R_eR5Buqin4VFZLmJ,15,1487642,0,1945248,1,9728713,0,,0.333333333,,,
R_djbCHXsNyBRvptz,16,148742,1,1943248,0,9728713,0,,0.333333333,,,
R_e8xdmX8uTK2GH7n,17,2 4 8 6 7 4 6 2,3,1923492,4,924829,5,,4,,,
R_d6SYIC1ZQDCki2x,18,1487614,2,1943248,0,9728713,0,,0.666666667,,,
R_daQ5qqpGRbfVNTD,19,1487162,2,1943248,0,9728713,0,,0.666666667,,,
R_9BOARN0xgIUab3L,20,1487462,1,1943248,0,9728713,0,,0.333333333,,,
R_6SanMtcNVRNNNVb,21,1487642,0,1943248,0,9728713,0,,0,,,
